,,,,,,unit: %
query index,Precision,Recall,F1-score,P@5,mAP,AVERAGE(B2:B226)
1,60,20.68965517,30.76923077,80,28.8,
2,40,16,22.85714286,80,,
3,50,55.55555556,52.63157895,100,,
4,20,66.66666667,30.76923077,40,,
5,10,20,13.33333333,20,,
6,20,40,26.66666667,40,,
7,30,50,37.5,60,,
8,20,16.66666667,18.18181818,40,,
9,10,25,14.28571429,20,,
10,30,33.33333333,31.57894737,40,,
11,20,25,22.22222222,40,,
12,30,50,37.5,60,,
13,10,20,13.33333333,20,,
14,20,66.66666667,30.76923077,40,,
15,20,66.66666667,30.76923077,40,,
16,20,50,28.57142857,40,,
17,10,33.33333333,15.38461538,0,,
18,20,50,28.57142857,40,,
19,10,10,10,20,,
20,50,50,50,80,,
21,20,40,26.66666667,20,,
22,0,0,0,0,,
23,20,6.060606061,9.302325581,40,,
24,30,75,42.85714286,40,,
25,60,60,60,80,,
26,20,28.57142857,23.52941176,40,,
27,20,50,28.57142857,20,,
28,0,0,0,0,,
29,50,50,50,80,,
30,10,12.5,11.11111111,20,,
31,10,50,16.66666667,20,,
32,20,28.57142857,23.52941176,40,,
33,40,100,57.14285714,80,,
34,30,42.85714286,35.29411765,40,,
35,0,0,0,0,,
36,0,0,0,0,,
37,10,10,10,20,,
38,10,9.090909091,9.523809524,20,,
39,30,21.42857143,25,40,,
40,0,0,0,0,,
41,40,100,57.14285714,80,,
42,30,50,37.5,40,,
43,50,71.42857143,58.82352941,60,,
44,0,0,0,0,,
45,30,23.07692308,26.08695652,40,,
46,50,31.25,38.46153846,80,,
47,60,40,48,80,,
48,40,33.33333333,36.36363636,60,,
49,20,66.66666667,30.76923077,40,,
50,0,0,0,0,,
51,50,45.45454545,47.61904762,80,,
52,20,40,26.66666667,40,,
53,20,18.18181818,19.04761905,40,,
54,20,20,20,40,,
55,20,18.18181818,19.04761905,40,,
56,30,27.27272727,28.57142857,60,,
57,20,13.33333333,16,20,,
58,40,40,40,40,,
59,10,20,13.33333333,20,,
60,30,50,37.5,60,,
61,30,50,37.5,60,,
62,0,0,0,0,,
63,0,0,0,0,,
64,10,33.33333333,15.38461538,0,,
65,60,37.5,46.15384615,60,,
66,10,16.66666667,12.5,20,,
67,70,46.66666667,56,100,,
68,20,33.33333333,25,40,,
69,10,16.66666667,12.5,20,,
70,20,18.18181818,19.04761905,20,,
71,20,22.22222222,21.05263158,20,,
72,10,5.555555556,7.142857143,0,,
73,70,33.33333333,45.16129032,100,,
74,10,14.28571429,11.76470588,0,,
75,20,33.33333333,25,20,,
76,30,37.5,33.33333333,60,,
77,50,71.42857143,58.82352941,60,,
78,40,100,57.14285714,60,,
79,20,33.33333333,25,40,,
80,10,20,13.33333333,20,,
81,30,100,46.15384615,40,,
82,30,50,37.5,40,,
83,20,40,26.66666667,20,,
84,40,33.33333333,36.36363636,60,,
85,10,20,13.33333333,0,,
86,30,100,46.15384615,60,,
87,10,11.11111111,10.52631579,20,,
88,70,100,82.35294118,80,,
89,40,57.14285714,47.05882353,60,,
90,30,21.42857143,25,40,,
91,30,30,30,40,,
92,80,57.14285714,66.66666667,100,,
93,20,100,33.33333333,40,,
94,60,46.15384615,52.17391304,80,,
95,30,100,46.15384615,60,,
96,60,42.85714286,50,80,,
97,20,18.18181818,19.04761905,20,,
98,20,33.33333333,25,20,,
99,30,60,40,60,,
100,40,40,40,60,,
101,60,85.71428571,70.58823529,60,,
102,30,60,40,40,,
103,10,33.33333333,15.38461538,20,,
104,30,50,37.5,40,,
105,30,50,37.5,60,,
106,40,66.66666667,50,60,,
107,30,37.5,33.33333333,60,,
108,70,87.5,77.77777778,80,,
109,0,0,0,0,,
110,0,0,0,0,,
111,30,37.5,33.33333333,60,,
112,20,66.66666667,30.76923077,40,,
113,20,40,26.66666667,20,,
114,10,20,13.33333333,20,,
115,10,20,13.33333333,20,,
116,10,16.66666667,12.5,20,,
117,0,0,0,0,,
118,20,50,28.57142857,40,,
119,20,100,33.33333333,40,,
120,50,50,50,80,,
121,50,62.5,55.55555556,100,,
122,20,20,20,20,,
123,0,0,0,0,,
124,10,20,13.33333333,20,,
125,30,16.66666667,21.42857143,40,,
126,20,22.22222222,21.05263158,40,,
127,20,33.33333333,25,20,,
128,10,33.33333333,15.38461538,20,,
129,50,62.5,55.55555556,100,,
130,50,83.33333333,62.5,80,,
131,50,55.55555556,52.63157895,40,,
132,80,50,61.53846154,80,,
133,20,25,22.22222222,40,,
134,20,66.66666667,30.76923077,20,,
135,50,55.55555556,52.63157895,60,,
136,30,75,42.85714286,40,,
137,30,60,40,60,,
138,20,66.66666667,30.76923077,20,,
139,0,0,0,0,,
140,20,28.57142857,23.52941176,40,,
141,20,28.57142857,23.52941176,40,,
142,10,50,16.66666667,20,,
143,20,66.66666667,30.76923077,40,,
144,60,85.71428571,70.58823529,100,,
145,50,62.5,55.55555556,80,,
146,30,100,46.15384615,60,,
147,50,45.45454545,47.61904762,80,,
148,30,42.85714286,35.29411765,60,,
149,40,33.33333333,36.36363636,20,,
150,30,100,46.15384615,60,,
151,0,0,0,0,,
152,10,14.28571429,11.76470588,0,,
153,40,50,44.44444444,80,,
154,30,100,46.15384615,20,,
155,30,42.85714286,35.29411765,40,,
156,70,46.66666667,56,100,,
157,70,17.5,28,80,,
158,30,33.33333333,31.57894737,40,,
159,20,22.22222222,21.05263158,40,,
160,20,33.33333333,25,20,,
161,30,42.85714286,35.29411765,60,,
162,40,44.44444444,42.10526316,40,,
163,30,75,42.85714286,60,,
164,50,55.55555556,52.63157895,60,,
165,30,100,46.15384615,60,,
166,20,22.22222222,21.05263158,20,,
167,20,66.66666667,30.76923077,20,,
168,20,66.66666667,30.76923077,20,,
169,30,60,40,60,,
170,50,71.42857143,58.82352941,60,,
171,40,100,57.14285714,80,,
172,50,100,66.66666667,100,,
173,30,100,46.15384615,60,,
174,20,33.33333333,25,0,,
175,20,33.33333333,25,40,,
176,20,25,22.22222222,20,,
177,40,66.66666667,50,60,,
178,40,80,53.33333333,40,,
179,30,60,40,60,,
180,40,50,44.44444444,80,,
181,20,33.33333333,25,40,,
182,30,100,46.15384615,60,,
183,70,50,58.33333333,80,,
184,10,12.5,11.11111111,20,,
185,70,70,70,80,,
186,40,23.52941176,29.62962963,40,,
187,20,28.57142857,23.52941176,40,,
188,40,33.33333333,36.36363636,60,,
189,30,30,30,40,,
190,20,33.33333333,25,40,,
191,60,42.85714286,50,60,,
192,40,80,53.33333333,60,,
193,80,80,80,100,,
194,30,42.85714286,35.29411765,60,,
195,20,50,28.57142857,20,,
196,30,23.07692308,26.08695652,40,,
197,30,75,42.85714286,60,,
198,20,40,26.66666667,20,,
199,0,0,0,0,,
200,30,75,42.85714286,40,,
201,40,23.52941176,29.62962963,60,,
202,30,20,24,60,,
203,50,33.33333333,40,80,,
204,10,6.666666667,8,0,,
205,10,33.33333333,15.38461538,0,,
206,30,75,42.85714286,60,,
207,20,33.33333333,25,20,,
208,60,85.71428571,70.58823529,80,,
209,30,23.07692308,26.08695652,20,,
210,40,57.14285714,47.05882353,60,,
211,10,8.333333333,9.090909091,20,,
212,60,40,48,80,,
213,60,50,54.54545455,80,,
214,20,40,26.66666667,40,,
215,10,33.33333333,15.38461538,20,,
216,10,50,16.66666667,0,,
217,20,12.5,15.38461538,20,,
218,20,12.5,15.38461538,20,,
219,0,0,0,0,,
220,30,15,20,40,,
221,40,21.05263158,27.5862069,60,,
222,40,40,40,80,,
223,20,40,26.66666667,40,,
224,40,44.44444444,42.10526316,20,,
225,40,16,22.85714286,60,,
